Rk,Player,Age,Team,Pos,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,OWS,DWS,WS,WS/48,BPM,VORP,PER,Salary
55,Malaki Branham,19,SAS,SG,66,23.5,2.7,1.9,0.5,0.1,1.2,1.7,10.2,103,123,-0.4,0.2,-0.1,-0.004,-5.2,-1.3,9.5,2925600
60,Malcolm Brogdon,30,BOS,PG,67,26,4.2,3.7,0.7,0.3,1.5,1.6,14.9,122,113,3.6,2.2,5.8,0.161,2.8,2.1,18.2,22600000
212,Malcolm Hill,27,CHI,SF,5,1.8,0.6,0,0,0,0,0.2,1,119,112,0,0,0,0.125,2.4,0,15.4,508891
36,Malik Beasley,26,2TM,SG,81,25.8,3.5,1.5,0.8,0.1,1.1,1.3,12.7,105,117,-0.2,1.6,1.4,0.032,-2,0,10.9,15558035
342,Malik Monk,24,SAC,SG,77,22.3,2.6,3.9,0.6,0.3,1.9,1.6,13.5,114,118,2.1,1.2,3.2,0.091,0.3,1,16.6,9472219
119,Mamadi Diakite,26,CLE,C,22,8,1.4,0.4,0.2,0.4,0.5,1.2,2.6,99,109,-0.1,0.3,0.2,0.051,-3.4,-0.1,9,508891
347,Marcus Morris,33,LAC,PF,65,28.1,4,1.8,0.6,0.3,0.9,2.1,11.2,108,116,0.4,1.6,2,0.053,-1.9,0,10.5,16372093
449,Marcus Smart,28,BOS,PG,61,32.1,3.1,6.3,1.5,0.4,2.3,2.8,11.5,111,112,1,2.7,3.7,0.092,-1,0.5,12.1,17207142
37,MarJon Beauchamp,22,MIL,SF,52,13.5,2.2,0.7,0.4,0.1,0.9,1.4,5.1,99,113,-0.4,0.8,0.4,0.027,-4.8,-0.5,8.2,2485200
522,Mark Williams,21,CHO,C,43,19.3,7.1,0.4,0.7,1,0.9,2.2,9,125,110,1.5,1.3,2.8,0.163,0.1,0.4,19.8,3722040
154,Markelle Fultz,24,ORL,PG,60,29.6,3.9,5.7,1.5,0.4,2.3,2.2,14,113,114,1.7,2,3.7,0.1,0.5,1.2,16.6,16500000
348,Markieff Morris,33,2TM,PF,35,10.1,2,0.9,0.3,0.1,0.5,1.4,3.8,108,115,0.1,0.4,0.4,0.059,-2.7,-0.1,10.4,2905851
446,Marko Simonovic,23,CHI,C,7,2.9,0.3,0,0,0,0,0.7,0.9,88,119,0,0,0,-0.052,-14.4,-0.1,-0.1,1563518
19,Marvin Bagley III,23,DET,C,42,23.6,6.4,0.9,0.5,0.7,1.1,1.9,12,117,118,1.3,0.7,2,0.095,-0.9,0.3,17.2,12500000
385,Mason Plumlee,32,2TM,C,79,26,8.9,3.1,0.6,0.6,1.5,2.7,10.8,134,114,5.5,2.4,7.9,0.185,2.2,2.2,19.6,9080417
473,Matisse Thybulle,25,2TM,SF,71,16.9,2,0.7,1.2,0.5,0.3,1.6,4.1,114,113,0.6,1.5,2.1,0.086,-0.5,0.4,10.5,4379526
427,Matt Ryan,25,2TM,SF,34,9.1,0.8,0.5,0.1,0,0.2,0.8,3.6,109,119,0.1,0.2,0.3,0.044,-3.4,-0.1,8.1,806097
116,Matthew Dellavedova,32,SAC,PG,32,6.7,0.4,1.3,0.2,0,0.3,0.6,1.5,105,119,0,0.1,0.1,0.021,-5.2,-0.2,6.7,2628597
90,Max Christie,19,LAL,SG,41,12.5,1.8,0.5,0.2,0.2,0.3,0.8,3.1,111,116,0.1,0.5,0.6,0.058,-3.1,-0.1,7.4,1017781
460,Max Strus,26,MIA,SF,80,28.4,3.2,2.1,0.5,0.2,0.9,2.1,11.5,113,117,1.5,1.9,3.4,0.071,-1.7,0.2,10.8,1815677
